"prideID","tax","organismParts","experimentTypes","instruments"
"PXD034099","Bos taurus (bovine)","","Shotgun proteomics","Q Exactive"
"PXD036431","Nilaparvata lugens","Skin","Shotgun proteomics","LTQ Orbitrap"
"PXD036800","Homo sapiens (human);Acyrthosiphon pisum (pea aphid)","Urine","Shotgun proteomics","Orbitrap Exploris 480"
"PXD037003","Mus musculus (mouse)","Brain","Shotgun proteomics","Q Exactive HF"
"PXD037268","Homo sapiens (human)","","Shotgun proteomics","Q Exactive HF"
"PXD037430","Sus scrofa domesticus (domestic pig)","Saliva;Blood serum","Shotgun proteomics","Q Exactive"
"PXD037454","Mus musculus (mouse)","Hippocampus;Brain","Shotgun proteomics","Q Exactive"
"PXD038019","Caenorhabditis elegans","","Top-down proteomics","Orbitrap Fusion"
"PXD038649","Mus musculus (mouse)","Epithelial cell","Shotgun proteomics","Q Exactive HF"
"PXD028561","Homo sapiens (human)","Keratinocyte","Affinity purification coupled with mass spectrometry proteomics","Q Exactive Plus"
"PXD029180","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD030330","Homo sapiens (human)","Bone cancer cell line","Shotgun proteomics;Gel-based experiment","Q Exactive"
"PXD033846","Homo sapiens (human)","Hela cell","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Elite"
"PXD035716","Homo sapiens (human)","Breast","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD037186","Bos taurus (bovine)","Epithelial cell;Retinal pigment epithelium cell","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD038521","Mus musculus (mouse)","Cell culture;Fibroblast","Shotgun proteomics","Q Exactive Plus;Q Exactive"
